key,en-US,zh-CN
007292e4cfd55fd6,Value must be within safe integer range,数值必须位于安全整数范围内
00ee398250503d68,Exp,指数
0144358fe78a1c7e,No image,无图像
0163bc609557effd,Dest End,目标终点
02ae06a70b4fe7e9,Log10,以 10 为底对数
02f88b6573788731,Create Custom Node,创建自定义节点
02f8c9d616ceda08,To Float,转换浮点
031dd1b3faaf3a35,Condition,条件
035f44fbbb909062,Angle,角度
03da5d4195086b32,Exp10,10 次指数
0401c75bf59a8482,Debug Arrange,调试排列
046f3857ed64410b,Orthographic,正交
04cdd2c958eabba6,New File,新建文件
0526905a1cc14168,Author,作者
05e9c451da52226e,Shader description...,着色器描述...
062957eb3c84e7b3,Dest Start,目标起点
06443792820bdd5c,Shape Texture:,形状纹理：
06479785c40de5c7,Scalar,标量
066da05f06b670b2,Delete,删除
0672477bab3ed30b,layoutEnd,场景终点
077c7f83df0dd478,Src Origin End,前景原点终点
07cd03e0a53a5721,Drag to reorder or create node,拖动以重新排序或创建节点
0914f376a840fcde,Uses Depth,使用深度
09bb90cfedd8174c,dUVdx,dUVdx
09e0c88fa4c98443,https://docs.example.com,https://docs.example.com
0a53e390e16c2f45,Builtin,内置
0afc6c51786e4526,Open Shader,打开着色器
0b6424488fd9eb99,Swizzle,分量重排
0bb55270e659a23d,Debug,调试
0be6a9e9402454fa,Select,选择
0d07f8a1451ea3ad,Please enter a node name,请输入节点名称
0d8a07ebe242a18e,Seed,种子
0e079449cb048dd6,Ceil,向上取整
0eba10e0befaaaaf,Reload Preview,重新加载预览
0f796c865397773f,W,W
0f90b79cab8333d7,Copy Current,复制当前
0ff19b446476f293,Cannot mix component sets (xyzw/rgba/stpq),不能混用分量集合（xyzw/rgba/stpq）
10385eacdbfe2325,Load shape texture,加载形状贴图
106ba52c921a0a0e,Corner Out,外角
109f7a3f7444da8f,Float,浮点数
10b17fc10a805792,Preview,预览
11d399ab17ec717e,Clear shape texture,清除形状贴图
121ad3a2b82a944a,Remove from recent files,从最近文件中移除
12adbffea3b971eb,A,A
12d0fa39aaa9afd5,Invert,反相
13a803adf5119ca4,Animated,动画
1465ee0da564e9b8,Int Input,整数输入
152bdf736f3401cf,Mask,遮罩
15e68992ead3b820,Blend Mode,混合模式
177c09878f4b4ace,Version,版本
17aecbef7a9ce1dc,Report an Issue on GitHub,在 GitHub 上提交问题
17be282523a62dea,Normalized,归一化
1841abd35d52fe12,Extend Box,扩展范围
1845d267ef2c2e58,Pixellate,像素化
18dced0d0c978eb3,Color A,颜色 A
190616643b606e32,Left Shift,左移
191b7ab62b4d5389,Debug Auto Arrange,调试自动场景
1a5e0c4f90dd3c31,Epsilon,极小值
1aced425a790bacf,Shader Language:,着色器版本：
1ad5adf79322c3ae,Bits,位数
